gene,gene_type,log2FC_g0_minus_g1,t,p,abs_t
SDHC,protein_coding,2.2662888,45.48559,0.0,45.48559
SPCS2P4,processed_pseudogene,2.7422318,45.231083,0.0,45.231083
RN7SL49P,misc_RNA,-3.9001155,-45.074383,0.0,45.074383
RN7SL30P,misc_RNA,-1.9058217,-45.025257,0.0,45.025257
RNU6-3P,snRNA,-4.5751987,-44.958256,0.0,44.958256
H2BC6,protein_coding,-3.7929618,-44.793327,0.0,44.793327
RN7SL166P,misc_RNA,-6.5819707,-44.75712,0.0,44.75712
TNFSF12,protein_coding,2.543582,44.629433,0.0,44.629433
H2AC8,protein_coding,-5.3329177,-44.592117,0.0,44.592117
RPL28,protein_coding,2.712319,44.591072,0.0,44.591072
HHLA3,lncRNA,2.96478,44.525295,0.0,44.525295
RN7SL678P,misc_RNA,-4.390317,-44.455658,0.0,44.455658
SNORA38B,snoRNA,-4.142683,-44.41743,0.0,44.41743
H2AC14,protein_coding,-5.983145,-44.392952,0.0,44.392952
H2BC17,protein_coding,-6.220521,-44.390522,0.0,44.390522
MTATP8P2,processed_pseudogene,3.718371,44.29635,0.0,44.29635
H2BC7,protein_coding,-4.311346,-44.101192,0.0,44.101192
EIF1B,protein_coding,2.6625314,44.013115,0.0,44.013115
RN7SKP224,misc_RNA,-1.9064194,-43.816998,0.0,43.816998
RN7SL743P,misc_RNA,-4.4474707,-43.784294,0.0,43.784294
RN7SL778P,misc_RNA,-5.403549,-43.73544,0.0,43.73544
RPL3P4,processed_pseudogene,3.2554872,43.73276,0.0,43.73276
RPS16,protein_coding,3.5907755,43.542843,0.0,43.542843
Y_RNA,misc_RNA,-6.3940415,-43.52601,0.0,43.52601
RN7SL144P,misc_RNA,-3.4270637,-43.449677,0.0,43.449677
SRM,protein_coding,2.911234,43.41541,0.0,43.41541
SCARNA3,scaRNA,-3.5863438,-43.29665,0.0,43.29665
SNORA7B,snoRNA,-4.409879,-43.20097,0.0,43.20097
AL080243.2,processed_pseudogene,2.5386178,43.156864,0.0,43.156864
RN7SL471P,misc_RNA,-6.552473,-42.908073,0.0,42.908073
MTND6P4,processed_pseudogene,3.542702,42.901604,0.0,42.901604
RN7SKP173,misc_RNA,-2.743763,-42.89579,0.0,42.89579
