sample_id,cluster_k2,frac_nonpolyA,frac_histone,frac_mito
c1095377-3814-4ab9-a979-1e4c116c2f22,1,0.6661338,0.006985902,0.0025188555
c1c1d4e2-83de-43de-b586-9b375dc91f4d,1,0.6907837,0.013532597,0.0025287205
c247006d-7749-4838-9bfb-1388e089450d,1,0.28858876,0.026008977,0.014188576
c2bc46d6-7065-44ff-a21a-7a3676990fdb,0,0.0038494824,0.0011422215,0.18230078
c45fcca1-63ec-40f6-bd58-558a002f5b36,0,0.0048968336,0.0016647296,0.18020822
c47a6a50-b448-4736-b29d-bea454e28085,0,0.0025032794,0.00057433965,0.4065005
c5181f1f-9968-47c1-a2ae-77c3f83e21bd,1,0.6333767,0.05423128,0.0072076977
c6080974-048f-45f4-97bf-9e4fdcaf09ee,1,0.61383617,0.012918903,0.004024861
c6b96227-30c4-41f4-9932-b184895a11a1,1,0.5895851,0.011823708,0.0060492684
c7648754-3563-4d93-8107-d64def41fd4b,1,0.41211954,0.007760821,0.015961537
c93e41f3-3a23-4757-af8c-af11fab60b52,0,0.0030436036,0.00067723345,0.20747474
c99203bc-27cb-4af5-983f-46d87525a034,0,0.0017706666,0.00070897787,0.07258869
ca69f18c-ec4c-4ba0-851b-03fd454888ba,1,0.6695374,0.013011157,0.0030706567
cdd06204-36e8-4cf9-90c2-f96149f5f58e,1,0.5817675,0.0051890095,0.005368618
ce5fb607-99c5-457f-9022-df38b540fce6,0,0.0050777206,0.0017925301,0.1539606
ceb8abb5-067a-475c-99b2-128d66267b3f,0,0.0015740035,0.000658751,0.305372
cebc70af-a3df-45ef-9656-050f382f64e8,0,0.0022042107,0.00064979075,0.1015807
d02fcfe5-6834-4c66-93d4-768783500ede,1,0.5285721,0.017748324,0.012206814
d088027b-e691-4962-bf1c-85abd24ac76c,0,0.002886456,0.00091615436,0.25427568
d0d080e3-b40d-466e-8b51-58ee3f463667,0,0.0041948585,0.0014038277,0.15859509
d2b6a1a6-ed16-4374-8b28-912237ed87c2,1,0.39753368,0.013302496,0.009769151
d561fbb1-a288-4a37-98de-65247968fa40,1,0.47006652,0.0053043384,0.006160267
d620997f-b99e-4e20-a20d-d5b67ba3ce4b,0,0.0033554758,0.0015863521,0.10008929
d7278caf-2bf9-48fb-adfa-d30c7b988000,1,0.64464366,0.007985098,0.0057348507
d745289b-15ab-4923-9590-774b20d8b885,1,0.3714954,0.010176779,0.018606422
d7b7ba93-518f-4ee9-a966-d5eb7c3cc8f3,1,0.82665175,0.009389003,0.0034886634
d7f50a7e-b1e9-47ea-b33a-856964b813f7,0,0.0028043217,0.000726159,0.15571484
d83433da-3354-4e58-94f6-52d56d296363,0,0.0023392234,0.00073864596,0.14981818
d89d1ff1-7285-458d-8c32-2446a1d98b7b,1,0.47587857,0.009027766,0.0059375213
d921ae97-0106-4326-a7d1-8802fd11acbf,1,0.7649793,0.011421945,0.0040655797
d9548857-ab3c-4cf6-8608-4d5951f63c8b,1,0.54589623,0.005879628,0.0042740665
d98b999b-c625-4970-9b6a-533e7a4b7a0f,1,0.6401103,0.006705783,0.013091334
d9ce8aca-09dc-4140-a530-e6412c0ad927,1,0.28281647,0.014202495,0.016988587
da7d327b-1022-4ffc-9ed8-8b4413209ce4,1,0.3487176,0.012162029,0.010600293
dad61e18-e3f1-4beb-b3c3-ae434e35af2d,0,0.0024197928,0.00084850367,0.13864626
db0f3e8d-4a8e-48c7-8903-3dfba46d8401,0,0.0031360772,0.0007802353,0.14322966
dc528d13-8cd7-475f-a1c5-d710b36199bb,1,0.6202825,0.024907777,0.003754362
def5d534-0efd-450c-bde0-f69abbe48f7c,0,0.0043697157,0.00075860583,0.09868239
df3438b0-f3c9-4d19-bfe3-685b97b05a3a,1,0.43468794,0.0129811745,0.007992451
df47f95a-fb4a-4ea2-a929-c1d1971997a0,0,0.0054035294,0.0021734282,0.17190965
e013dfab-0f14-496c-98ff-4079c877aaf7,1,0.61591405,0.009108361,0.008183257
e044dbf9-7587-48b7-b58a-b4f5d9401309,1,0.68690944,0.011473848,0.0024173707
e0497b17-99ef-4d0b-afc9-9fcd5769baaa,0,0.0023271441,0.0012742056,0.18140906
e08e8902-f526-449f-b645-d29b06d175dd,0,0.0024375054,0.0008766131,0.23198113
e1757a20-2d6f-4aee-bafb-804302b448ea,0,0.0028938008,0.0004098678,0.17269242
