variant,gene_set,n_pcs,algorithm,k,silhouette,calinski_harabasz,davies_bouldin,batch_ARI,BioValidity_ARI,BioValidity_NMI,min_cluster_size,size_balance,cluster_sizes
V1,MAD_1000_PC,15,Ward,6,0.1505,186.7,1.8207,0.4269,0.0563,0.1215,29,0.259,"112,36,82,29,30,39"
V1,MAD_1000_PC,15,Ward,7,0.1111,164.2,2.0665,0.3205,0.0723,0.1273,29,0.354,"82,36,71,29,30,39,41"
V1,MAD_1000_PC,15,GMM,3,0.3148,328.8,1.6217,0.7424,0.0745,0.1358,51,0.362,"141,136,51"
V1,MAD_1000_PC,15,GMM,4,0.1481,244.5,2.0013,0.5711,0.0993,0.1348,45,0.341,"55,132,96,45"
V1,MAD_1000_PC,15,GMM,5,0.1333,193.3,1.9912,0.5028,0.1441,0.2159,31,0.235,"55,31,132,71,39"
V1,MAD_1000_PC,15,GMM,6,0.1132,180.8,2.086,0.3442,0.1232,0.1754,35,0.412,"55,35,47,53,53,85"
V1,MAD_1000_PC,15,GMM,7,0.1155,154.7,2.0219,0.3311,0.1318,0.1968,24,0.27,"55,24,43,89,59,34,24"
V1,MAD_1000_PC,15,Spectral,3,0.3533,379.9,1.3179,0.6761,0.0231,0.0341,90,0.638,"141,97,90"
V1,MAD_1000_PC,15,Spectral,4,0.2131,291.5,1.6324,0.5118,0.0552,0.0739,48,0.495,"90,48,97,93"
V1,MAD_1000_PC,15,Spectral,5,0.181,235.6,1.7553,0.4281,0.0996,0.1374,43,0.462,"53,48,91,43,93"
V1,MAD_1000_PC,15,Spectral,6,0.1568,199.8,1.8571,0.3539,0.1372,0.1989,35,0.385,"58,53,43,48,91,35"
V1,MAD_1000_PC,15,Spectral,7,0.1444,177.3,1.8031,0.306,0.1349,0.2323,18,0.243,"35,58,74,48,48,47,18"
V1,MAD_1000_PC,20,KMeans,3,0.3395,352.2,1.3706,0.6756,0.0179,0.0287,93,0.66,"141,94,93"
V1,MAD_1000_PC,20,KMeans,4,0.2054,269.4,1.6803,0.5148,0.044,0.0617,46,0.484,"95,93,94,46"
V1,MAD_1000_PC,20,KMeans,5,0.1699,221.0,1.8393,0.4085,0.0761,0.1159,46,0.484,"46,66,59,62,95"
V1,MAD_1000_PC,20,KMeans,6,0.1594,187.6,1.9232,0.3551,0.0985,0.169,34,0.37,"34,49,58,92,47,48"
V1,MAD_1000_PC,20,KMeans,7,0.136,166.0,2.0179,0.2796,0.133,0.2142,36,0.621,"49,40,44,45,56,58,36"
V1,MAD_1000_PC,20,Ward,3,0.3299,337.2,1.4151,0.7016,0.0005,0.0128,67,0.475,"141,120,67"
V1,MAD_1000_PC,20,Ward,4,0.1923,250.8,1.6453,0.5913,0.0121,0.0424,26,0.217,"120,115,67,26"
V1,MAD_1000_PC,20,Ward,5,0.1672,210.1,1.84,0.4601,0.048,0.0901,26,0.226,"115,65,67,26,55"
V1,MAD_1000_PC,20,Ward,6,0.1274,178.0,2.1164,0.3393,0.1097,0.1662,26,0.388,"65,56,67,26,55,59"
V1,MAD_1000_PC,20,Ward,7,0.1246,156.4,2.068,0.3146,0.1031,0.1619,13,0.194,"67,56,52,26,55,59,13"
