gene_set,n_genes,protein_coding_only,n_pcs,cum_explained_var,algorithm,k,silhouette,calinski_harabasz,davies_bouldin,batch_ARI,min_cluster_size,max_cluster_size,size_balance,cluster_sizes
MAD_1000_PC,1000,True,20,0.6718,Spectral,3,0.128,54.0,2.1886,-0.0041,86,135,0.637,"86,107,135"
MAD_1000_PC,1000,True,20,0.6718,Spectral,4,0.1071,44.2,2.2345,-0.0007,58,105,0.552,"92,105,73,58"
MAD_1000_PC,1000,True,20,0.6718,Spectral,5,0.1134,40.9,2.0154,0.0003,42,97,0.433,"42,97,55,82,52"
MAD_1000_PC,1000,True,20,0.6718,Spectral,6,0.0968,34.0,2.1729,-0.0003,30,83,0.361,"83,72,40,30,49,54"
MAD_1000_PC,1000,True,20,0.6718,Spectral,7,0.0974,31.5,2.1835,0.0049,28,69,0.406,"42,45,66,28,69,42,36"
MAD_1000_PC,1000,True,20,0.6718,Spectral,8,0.1029,31.1,2.0298,0.001,20,62,0.323,"47,40,41,43,20,62,34,41"
MAD_1000_PC,1000,True,30,0.7296,KMeans,2,0.1441,63.6,2.1801,-0.0023,133,195,0.682,"195,133"
MAD_1000_PC,1000,True,30,0.7296,KMeans,3,0.1212,50.5,2.3191,-0.0041,95,129,0.736,"129,95,104"
MAD_1000_PC,1000,True,30,0.7296,KMeans,4,0.1063,42.5,2.1767,0.002,61,118,0.517,"61,82,67,118"
MAD_1000_PC,1000,True,30,0.7296,KMeans,5,0.1101,38.8,2.1715,0.0005,58,76,0.763,"76,58,60,67,67"
MAD_1000_PC,1000,True,30,0.7296,KMeans,6,0.1061,34.6,2.1913,-0.0027,44,66,0.667,"44,64,61,66,44,49"
MAD_1000_PC,1000,True,30,0.7296,KMeans,7,0.0986,31.3,2.2334,-0.002,27,72,0.375,"34,57,39,59,40,27,72"
MAD_1000_PC,1000,True,30,0.7296,KMeans,8,0.1001,29.1,2.2302,-0.0011,20,56,0.357,"48,56,46,29,20,46,37,46"
MAD_1000_PC,1000,True,30,0.7296,Ward,2,0.1227,51.4,2.2984,-0.0049,107,221,0.484,"221,107"
MAD_1000_PC,1000,True,30,0.7296,Ward,3,0.0995,43.4,2.5326,-0.0027,102,119,0.857,"107,102,119"
MAD_1000_PC,1000,True,30,0.7296,Ward,4,0.0791,35.1,2.5539,-0.0034,50,119,0.42,"102,57,119,50"
MAD_1000_PC,1000,True,30,0.7296,Ward,5,0.0697,31.2,2.4466,-0.0005,44,119,0.37,"119,57,58,50,44"
MAD_1000_PC,1000,True,30,0.7296,Ward,6,0.072,28.8,2.5892,0.0035,44,65,0.677,"57,65,58,50,44,54"
MAD_1000_PC,1000,True,30,0.7296,Ward,7,0.0688,26.7,2.4869,0.0029,20,65,0.308,"58,65,54,50,44,37,20"
MAD_1000_PC,1000,True,30,0.7296,Ward,8,0.0716,25.1,2.3558,0.0035,20,65,0.308,"65,35,54,50,44,37,20,23"
MAD_1000_PC,1000,True,30,0.7296,GMM,2,0.1019,43.7,2.6905,0.0,160,168,0.952,"168,160"
MAD_1000_PC,1000,True,30,0.7296,GMM,3,0.1,43.1,2.5474,-0.0036,101,118,0.856,"101,109,118"
MAD_1000_PC,1000,True,30,0.7296,GMM,4,0.0957,37.5,2.4492,-0.003,71,103,0.689,"81,73,103,71"
