gene_set,n_genes,protein_coding_only,n_pcs,cum_explained_var,algorithm,k,silhouette,calinski_harabasz,davies_bouldin,min_cluster_size,max_cluster_size,size_balance,cluster_sizes
MAD_5000_ALL,5000,False,20,0.7868,KMeans,3,0.3735,260.7,1.1904,92,141,0.652,"92,141,95"
MAD_5000_ALL,5000,False,20,0.7868,KMeans,4,0.3128,197.4,1.4366,39,141,0.277,"84,141,64,39"
MAD_5000_ALL,5000,False,20,0.7868,KMeans,5,0.1683,165.8,1.8261,37,80,0.463,"70,76,80,65,37"
MAD_5000_ALL,5000,False,20,0.7868,KMeans,6,0.1638,142.6,1.8697,33,78,0.423,"78,33,37,57,60,63"
MAD_5000_ALL,5000,False,20,0.7868,KMeans,7,0.1531,126.7,1.941,27,81,0.333,"60,27,81,51,29,47,33"
MAD_5000_ALL,5000,False,20,0.7868,KMeans,8,0.1354,114.6,1.9667,26,52,0.5,"43,49,26,27,46,52,33,52"
MAD_5000_ALL,5000,False,20,0.7868,Ward,2,0.4461,327.0,0.9259,141,187,0.754,"187,141"
MAD_5000_ALL,5000,False,20,0.7868,Ward,3,0.3629,247.1,1.2283,64,141,0.454,"123,141,64"
MAD_5000_ALL,5000,False,20,0.7868,Ward,4,0.3045,190.8,1.4687,36,141,0.255,"141,87,64,36"
MAD_5000_ALL,5000,False,20,0.7868,Ward,5,0.1589,157.0,1.8296,36,104,0.346,"87,104,64,36,37"
MAD_5000_ALL,5000,False,20,0.7868,Ward,6,0.159,136.2,1.8606,29,104,0.279,"104,37,64,36,58,29"
MAD_5000_ALL,5000,False,20,0.7868,Ward,7,0.1414,120.2,1.94,28,76,0.368,"64,37,76,36,58,29,28"
MAD_5000_ALL,5000,False,20,0.7868,Ward,8,0.129,108.9,2.0489,28,76,0.368,"76,37,28,36,58,29,28,36"
MAD_5000_ALL,5000,False,20,0.7868,GMM,2,0.4461,327.0,0.9259,141,187,0.754,"141,187"
MAD_5000_ALL,5000,False,20,0.7868,GMM,3,0.3129,206.9,1.544,52,141,0.369,"135,141,52"
MAD_5000_ALL,5000,False,20,0.7868,GMM,4,0.1478,151.3,2.0513,52,135,0.385,"83,135,52,58"
